HAUL_ID,CATCH_SAMPLE_VALUE_ID,CATCH_SAMPLE_ID,SAMPLE_VALUE_UNITS,WEIGHT,WEIGHT_UNITS,COUNT,KEEP,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
1,1,1,"BSK",20.0000,"KG",,"Y","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:43:22",0,"02/15/2024 15:43:22",1
1,2,1,"BSK",5.0000,"KG",,"N","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:43:41",0,"02/15/2024 15:43:41",2
1,3,1,"BSK",3.0000,"KG",,"N","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:43:46",0,"02/15/2024 15:43:46",3
1,4,2,"BSK",10.0000,"KG",,"Y","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:44:36",0,"02/15/2024 15:44:36",4
1,5,3,"BSK",0.5600,"KG",,"Y","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:49:20",0,"02/15/2024 15:49:20",5
