POT_ID,temperature_C,depth_m,latitude,longitude,DistanceLoggerfromBottom_m,Gear_Type
CAM3,-1.2,50,57.66666667,-164.2696667,0.8,Pot
D03,-1.399102273,45.87843853,57.7488,-162.8635,0.8,Pot
D04,-1.4,41,57.7159,-162.8649,0.8,Pot
D07,-1.3,47,57.61695,-162.8700167,0.8,Pot
D08,-1.11046861,47.92940295,57.58385,-162.8705,0.8,Pot
D10,-0.9,49,57.51678333,-162.8703667,0.8,Pot
D13,-0.5,49,57.41696667,-162.8735167,0.8,Pot
D15,0.1,50,57.35053333,-162.8747667,0.8,Pot
D17,0.449849741,48.62567887,57.28555,-162.8745,0.8,Pot
D22,0.957945205,58.09620166,57.11845,-162.879,0.8,Pot
D27,1.1,62,56.9525,-162.8811667,0.8,Pot
D35,1.5,71,56.68716667,-162.8856667,0.8,Pot
D37,1.616251969,74.45621575,56.62025,-162.887,0.8,Pot
D40,1.6,84,56.52116667,-162.8881667,0.8,Pot
D41,1.6,78,56.48783333,-162.8888333,0.8,Pot
D44,1.547085714,81.29381839,56.3883,-162.8905,0.8,Pot
D50,2,81,56.189,-162.8935,0.8,Pot
D51,2,81,56.15566667,-162.894,0.8,Pot
D58,1.9,82,55.92283333,-162.8978333,0.8,Pot
D60,1.909324742,83.39464113,55.85695,-162.899,0.8,Pot
D62,1.9,74,55.78983333,-162.8998333,0.8,Pot
D68,1.1,50,55.5905,-162.9028333,0.8,Pot
D72,0.282305263,37.08660274,55.45815,-162.9045,0.8,Pot
E03,-0.918682119,45.36073551,57.74475,-162.3995,0.8,Pot
E04,-1.1,40,57.71175,-162.40265,0.8,Pot
E07,-1.3,48,57.61165,-162.4035833,0.8,Pot
E08,-1.274440639,46.37674208,57.5795,-162.404,0.8,Pot
E10,-1.2,48,57.51288333,-162.40665,0.8,Pot
E13,-0.9,49,57.41316667,-162.4100333,0.8,Pot
E15,-0.5,52,57.3472,-162.4125833,0.8,Pot
E17,-0.406816667,52.16197791,57.2807,-162.4145,0.8,Pot
E23,0.912393782,58.92931242,57.0823,-162.42,0.8,Pot
E26,1.3,62,56.9825,-162.423,0.8,Pot
E28,1.339327273,64.34341791,56.91645,-162.425,0.8,Pot
E29,1.4,61,56.88283333,-162.426,0.8,Pot
E31,1.5,66,56.8165,-162.4278333,0.8,Pot
E33,1.6,70,56.75016667,-162.4298333,0.8,Pot
E34,1.6,73,56.71683333,-162.4306667,0.8,Pot
E37,1.70974026,68.34523866,56.6178,-162.434,0.8,Pot
E46,1.753552778,73.88588074,56.3189,-162.442,0.8,Pot
E49,1.9,75,56.21916667,-162.4445,0.8,Pot
E53,1.9,75,56.08633333,-162.4481667,0.8,Pot
E56,1.935541209,76.2530709,55.9868,-162.451,0.8,Pot
E59,1.9,68,55.88683333,-162.4538333,0.8,Pot
E60,1.9,56,55.853,-162.4548333,0.8,Pot
E61,1.9,56,55.81933333,-162.4556667,0.8,Pot
E65,1.5,44,55.6875,-162.4591667,0.8,Pot
E66,1.1,34,55.65433333,-162.4601667,0.8,Pot
F01,-0.190790447,48.61605585,57.80845,-161.9315,0.8,Pot
F02,-0.1,48,57.77498333,-161.92955,0.8,Pot
F07,0,,57.60968333,-161.9375333,0.8,Pot
F09,-0.752922018,50.39835038,57.5431,-161.942,0.8,Pot
F13,-1,51,57.41003333,-161.94765,0.8,Pot
F14,-0.913402736,48.63042634,57.37685,-161.949,0.8,Pot
F16,-0.8,48,57.31025,-161.95345,0.8,Pot
F19,-0.5,53,57.21106667,-161.9570833,0.8,Pot
F22,-0.3,55,57.11066667,-161.9596667,0.8,Pot
F23,-0.2,56,57.0775,-161.9608333,0.8,Pot
F24,-0.1,56,57.04433333,-161.9621667,0.8,Pot
F28,0.6,70,56.9115,-161.9678333,0.8,Pot
F29,1.1,74,56.87833333,-161.9691667,0.8,Pot
F33,1.419002545,69.35042617,56.74595,-161.975,0.8,Pot
F36,1.5,81,56.646,-161.9788333,0.8,Pot
F43,1.583649874,76.3438777,56.41385,-161.9885,0.8,Pot
F46,1.7,84,56.31366667,-161.9925,0.8,Pot
F50,1.4,70,56.181,-161.9976667,0.8,Pot
F52,1.3,63,56.11466667,-162.0003333,0.8,Pot
F56,0.920865979,49.27760894,55.9819,-162.006,0.8,Pot
F58,0.8,37,55.91516667,-162.0083333,0.8,Pot
G02,0.031729577,49.52341206,57.76795,-161.4655,0.8,Pot
G04,0.3,51,57.70136667,-161.4667167,0.8,Pot
G07,0.7,51,57.60233333,-161.4715333,0.8,Pot
G09,0.5,51,57.5355,-161.4784667,0.8,Pot
G11,0.057579946,52.80355691,57.46895,-161.478,0.8,Pot
G12,-0.1,54,57.43666667,-161.4810333,0.8,Pot
G15,-0.3,54,57.33703333,-161.4884333,0.8,Pot
G16,0.029402667,57.97550386,57.30325,-161.491,0.8,Pot
G19,0.5,60,57.20386667,-161.4936667,0.8,Pot
G23,0.8,66,57.06965,-161.5033667,0.8,Pot
G25,0.716725,68.8950442,57.00375,-161.509,0.8,Pot
G26,0.9,71,56.97075,-161.5090833,0.8,Pot
G29,1.3,79,56.8722,-161.5140833,0.8,Pot
G30,1.35157868,79.64928968,56.8378,-161.516,0.8,Pot
G34,1.5,87,56.70536667,-161.5222333,0.8,Pot
G35,1.4,89,56.67281667,-161.52365,0.8,Pot
G38,1.455908108,68.365179,56.5737,-161.529,0.8,Pot
G40,1.4,64,56.50683333,-161.5327167,0.8,Pot
G43,1.3,66,56.40748333,-161.5379333,0.8,Pot
G44,1.353863158,68.26951749,56.37435,-161.5395,0.8,Pot
G46,1.2,63,56.30778333,-161.54315,0.8,Pot
G48,1.2,61,56.2412,-161.5466667,0.8,Pot
G51,0.6,54,56.14165,-161.55165,0.8,Pot
G53,0.209191327,45.56125372,56.0752,-161.556,0.8,Pot
H01,-0.8,50,57.82563333,-160.9888667,0.8,Pot
