"VESSEL","HAUL","STATION","LAT_DD","LON_DD","MAT_SEX","COUNT"
"Vesteraalen",NA,"U3",57.439115,-160.785724,"Immature male",0
"Vesteraalen",NA,"U5",57.1076,-160.810499,"Immature male",0
"Vesteraalen",NA,"U6",56.941799,-160.822716,"Immature male",0
"Vesteraalen",NA,"U8",56.610105,-160.846817,"Immature male",0
"Vesteraalen",NA,"U11",56.112315,-160.882158,"Immature male",0
"Vesteraalen",NA,"T1",57.779796,-161.228357,"Immature male",0
"Vesteraalen",NA,"T11",56.121192,-161.329069,"Immature male",0
"Vesteraalen",NA,"W1",57.746717,-159.82559,"Mature female",0
"Vesteraalen",NA,"W2",57.581135,-159.842626,"Mature female",0
"Vesteraalen",NA,"W3",57.415526,-159.859503,"Mature female",0
"Vesteraalen",NA,"W4",57.249888,-159.876225,"Mature female",0
"Vesteraalen",NA,"W5",57.084221,-159.892792,"Mature female",0
"Vesteraalen",NA,"W7",56.752794,-159.925473,"Mature female",0
"Vesteraalen",NA,"W8",56.587032,-159.941591,"Mature female",0
"Vesteraalen",NA,"V1",57.759493,-160.292879,"Mature female",0
"Vesteraalen",NA,"V2",57.593853,-160.307739,"Mature female",0
"Vesteraalen",NA,"V3",57.428187,-160.322461,"Mature female",0
"Vesteraalen",NA,"V4",57.262493,-160.337046,"Mature female",0
"Vesteraalen",NA,"V9",56.433566,-160.407993,"Mature female",0
"Vesteraalen",NA,"U1",57.77052,-160.760484,"Mature female",0
"Vesteraalen",NA,"U6",56.941799,-160.822716,"Mature female",0
"Vesteraalen",NA,"U10",56.278279,-160.870484,"Mature female",0
"Vesteraalen",NA,"U11",56.112315,-160.882158,"Mature female",0
"Vesteraalen",NA,"T11",56.121192,-161.329069,"Mature female",0
"Vesteraalen",NA,"W1",57.746717,-159.82559,"Immature female",0
"Vesteraalen",NA,"W2",57.581135,-159.842626,"Immature female",0
"Vesteraalen",NA,"W4",57.249888,-159.876225,"Immature female",0
"Vesteraalen",NA,"W5",57.084221,-159.892792,"Immature female",0
"Vesteraalen",NA,"W6",56.918523,-159.909208,"Immature female",0
"Vesteraalen",NA,"W7",56.752794,-159.925473,"Immature female",0
"Vesteraalen",NA,"W8",56.587032,-159.941591,"Immature female",0
"Vesteraalen",NA,"V1",57.759493,-160.292879,"Immature female",0
"Vesteraalen",NA,"V3",57.428187,-160.322461,"Immature female",0
"Vesteraalen",NA,"V4",57.262493,-160.337046,"Immature female",0
"Vesteraalen",NA,"V5",57.096769,-160.351497,"Immature female",0
"Vesteraalen",NA,"V6",56.931016,-160.365815,"Immature female",0
"Vesteraalen",NA,"V7",56.765232,-160.380003,"Immature female",0
"Vesteraalen",NA,"V8",56.599416,-160.394061,"Immature female",0
"Vesteraalen",NA,"V9",56.433566,-160.407993,"Immature female",0
"Vesteraalen",NA,"U2",57.60483,-160.773163,"Immature female",0
"Vesteraalen",NA,"U3",57.439115,-160.785724,"Immature female",0
"Vesteraalen",NA,"U4",57.273372,-160.798169,"Immature female",0
"Vesteraalen",NA,"U5",57.1076,-160.810499,"Immature female",0
"Vesteraalen",NA,"U6",56.941799,-160.822716,"Immature female",0
"Vesteraalen",NA,"U7",56.775968,-160.834822,"Immature female",0
"Vesteraalen",NA,"U8",56.610105,-160.846817,"Immature female",0
"Vesteraalen",NA,"U10",56.278279,-160.870484,"Immature female",0
"Vesteraalen",NA,"U11",56.112315,-160.882158,"Immature female",0
"Vesteraalen",NA,"T1",57.779796,-161.228357,"Immature female",0
"Vesteraalen",NA,"T11",56.121192,-161.329069,"Immature female",0
"Vesteraalen",NA,"W1",57.746717,-159.82559,"Legal male",0
"Vesteraalen",NA,"W2",57.581135,-159.842626,"Legal male",0
"Vesteraalen",NA,"W3",57.415526,-159.859503,"Legal male",0
"Vesteraalen",NA,"W4",57.249888,-159.876225,"Legal male",0
"Vesteraalen",NA,"W7",56.752794,-159.925473,"Legal male",0
"Vesteraalen",NA,"W8",56.587032,-159.941591,"Legal male",0
"Vesteraalen",NA,"V1",57.759493,-160.292879,"Legal male",0
"Vesteraalen",NA,"V2",57.593853,-160.307739,"Legal male",0
"Vesteraalen",NA,"V4",57.262493,-160.337046,"Legal male",0
"Vesteraalen",NA,"V6",56.931016,-160.365815,"Legal male",0
"Vesteraalen",NA,"V8",56.599416,-160.394061,"Legal male",0
"Vesteraalen",NA,"V9",56.433566,-160.407993,"Legal male",0
"Vesteraalen",NA,"U1",57.77052,-160.760484,"Legal male",0
"Vesteraalen",NA,"U2",57.60483,-160.773163,"Legal male",0
"Vesteraalen",NA,"U4",57.273372,-160.798169,"Legal male",0
"Vesteraalen",NA,"U5",57.1076,-160.810499,"Legal male",0
"Vesteraalen",NA,"U6",56.941799,-160.822716,"Legal male",0
"Vesteraalen",NA,"U7",56.775968,-160.834822,"Legal male",0
"Vesteraalen",NA,"U8",56.610105,-160.846817,"Legal male",0
"Vesteraalen",NA,"U10",56.278279,-160.870484,"Legal male",0
"Vesteraalen",NA,"U11",56.112315,-160.882158,"Legal male",0
"Vesteraalen",NA,"T1",57.779796,-161.228357,"Legal male",0
"Vesteraalen",NA,"T11",56.121192,-161.329069,"Legal male",0
"Vesteraalen",NA,"W1",57.746717,-159.82559,"Sublegal male",0
"Vesteraalen",NA,"W2",57.581135,-159.842626,"Sublegal male",0
"Vesteraalen",NA,"W4",57.249888,-159.876225,"Sublegal male",0
"Vesteraalen",NA,"W5",57.084221,-159.892792,"Sublegal male",0
"Vesteraalen",NA,"W6",56.918523,-159.909208,"Sublegal male",0
"Vesteraalen",NA,"W7",56.752794,-159.925473,"Sublegal male",0
"Vesteraalen",NA,"W8",56.587032,-159.941591,"Sublegal male",0
"Vesteraalen",NA,"V1",57.759493,-160.292879,"Sublegal male",0
"Vesteraalen",NA,"V2",57.593853,-160.307739,"Sublegal male",0
"Vesteraalen",NA,"V4",57.262493,-160.337046,"Sublegal male",0
"Vesteraalen",NA,"V5",57.096769,-160.351497,"Sublegal male",0
"Vesteraalen",NA,"V8",56.599416,-160.394061,"Sublegal male",0
"Vesteraalen",NA,"V9",56.433566,-160.407993,"Sublegal male",0
"Vesteraalen",NA,"U1",57.77052,-160.760484,"Sublegal male",0
"Vesteraalen",NA,"U2",57.60483,-160.773163,"Sublegal male",0
"Vesteraalen",NA,"U3",57.439115,-160.785724,"Sublegal male",0
"Vesteraalen",NA,"U5",57.1076,-160.810499,"Sublegal male",0
"Vesteraalen",NA,"U6",56.941799,-160.822716,"Sublegal male",0
"Vesteraalen",NA,"U8",56.610105,-160.846817,"Sublegal male",0
"Vesteraalen",NA,"U11",56.112315,-160.882158,"Sublegal male",0
"Vesteraalen",NA,"T1",57.779796,-161.228357,"Sublegal male",0
"Vesteraalen",NA,"T11",56.121192,-161.329069,"Sublegal male",0
