VESSEL,CRUISE,HAUL,STATION,COMMON_NAME,SPECIES_CODE,WEIGHT,NUMBER_CRAB,HAUL_ID,RECORDING_DEVICE,ID
162,202301,17,"G-15","Tanner crab",68560,0.560,2.00000,1,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_1768560"
162,202301,17,"G-15","red king crab",69322,38.000,10.00000,1,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_1769322"
